co_categoria_subcategoria,co_agrupamento,co_categoria_pai,no_categoria_subcategoria,st_cruz,st_asterisco,co_categ_subcateg_sp,st_registro_ativo,dt_inclusao,dt_atualizacao
L59.0,127,L59,Eritema devido ao calor ou ao fogo [dermatite ab igne],-,-,L590,S,-,-
L59.8,127,L59,Outras afeccoes especificadas da pele e do tecido subcutaneo relacionadas com a radiacao,-,-,L598,S,-,-
L59.9,127,L59,"Afeccoes da pele e do tecido subcutaneo relacionadas com a radiacao, nao especificadas",-,-,L599,S,-,-
L60,128,L60,Afeccoes das unhas,-,-,L60,S,-,-
L60.0,128,L60,Unha encravada,-,-,L600,S,-,-
L60.1,128,L60,Onicolise,-,-,L601,S,-,-
L60.2,128,L60,Onicogrifose,-,-,L602,S,-,-
L60.3,128,L60,Distrofia ungueal,-,-,L603,S,-,-
L60.4,128,L60,Linhas de Beau,-,-,L604,S,-,-
L60.5,128,L60,Sindrome das unhas amareladas,-,-,L605,S,-,-
L60.8,128,L60,Outras afeccoes das unhas,-,-,L608,S,-,-
L60.9,128,L60,"Afeccoes das unhas, nao especificadas",-,-,L609,S,-,-
L62,128,L62,Afeccoes das unhas em doencas classificadas em outra parte,-,*,L62,S,-,-
L62.0,128,L62,Paquidermoperiostose com unhas hipocraticas (em vidro de relogio) (M89.4+),-,*,L620,S,-,-
L62.8,128,L62,Afeccoes das unhas em outras doencas classificadas em outra parte,-,*,L628,S,-,-
L63,128,L63,Alopecia areata,-,-,L63,S,-,-
L63.0,128,L63,Alopecia total (capitis),-,-,L630,S,-,-
L63.1,128,L63,Alopecia universal,-,-,L631,S,-,-
L63.2,128,L63,Ofiase,-,-,L632,S,-,-
L63.8,128,L63,Outras formas de alopecia areata,-,-,L638,S,-,-
L63.9,128,L63,"Alopecia areata, nao especificada",-,-,L639,S,-,-
L64,128,L64,Alopecia androgenica,-,-,L64,S,-,-
L64.0,128,L64,Alopecia androgenica induzida por droga,-,-,L640,S,-,-
L64.8,128,L64,Outras alopecias androgenicas,-,-,L648,S,-,-
L64.9,128,L64,"Alopecia androgenica, nao especificada",-,-,L649,S,-,-
L65,128,L65,Outras formas nao cicatriciais da perda de cabelos ou pelos,-,-,L65,S,-,-
L65.0,128,L65,Efluvio telogeno,-,-,L650,S,-,-
L65.1,128,L65,Efluvio anageno,-,-,L651,S,-,-
L65.2,128,L65,Alopecia mucinosa,-,-,L652,S,-,-
L65.8,128,L65,"Outras formas, especificadas, nao cicatriciais, de perda de cabelos ou pelos",-,-,L658,S,-,-
L65.9,128,L65,"Perda de cabelos ou pelos nao cicatriciais, nao especificada",-,-,L659,S,-,-
L66,128,L66,"Alopecia cicatricial [perda de cabelos ou pelos, cicatricial]",-,-,L66,S,-,-
L66.0,128,L66,Pseudopelada,-,-,L660,S,-,-
L66.1,128,L66,Liquen planopilar,-,-,L661,S,-,-
L66.2,128,L66,Foliculite descalvante,-,-,L662,S,-,-
L66.3,128,L66,Perifoliculite abscedante da cabeca,-,-,L663,S,-,-
L66.4,128,L66,Foliculite uleritematosa reticulada,-,-,L664,S,-,-
L66.8,128,L66,Outras formas de alopecia cicatricial,-,-,L668,S,-,-
L66.9,128,L66,"Alopecia cicatricial, nao especificada",-,-,L669,S,-,-
L67,128,L67,Anormalidades da cor e do pediculo dos cabelos e dos pelos,-,-,L67,S,-,-
L67.0,128,L67,Tricorrexe nodosa,-,-,L670,S,-,-
L67.1,128,L67,Variacoes da cor dos cabelos ou pelos,-,-,L671,S,-,-
L67.8,128,L67,Outras anormalidades da cor e do pediculo dos cabelos ou pelos,-,-,L678,S,-,-
L67.9,128,L67,"Anormalidades da cor e do pediculo dos cabelos e dos pelos, nao especificadas",-,-,L679,S,-,-
L68,128,L68,Hipertricose,-,-,L68,S,-,-
L68.0,128,L68,Hirsutismo,-,-,L680,S,-,-
L68.1,128,L68,Hipertricose lanuginosa adquirida,-,-,L681,S,-,-
L68.2,128,L68,Hipertricose localizada,-,-,L682,S,-,-
L68.3,128,L68,Politriquia,-,-,L683,S,-,-
L68.8,128,L68,Outras formas de hipertricose,-,-,L688,S,-,-
L68.9,128,L68,"Hipertricose, nao especificada",-,-,L689,S,-,-
L70,128,L70,Acne,-,-,L70,S,-,-
L70.0,128,L70,Acne vulgar,-,-,L700,S,-,-
L70.1,128,L70,Acne conglobata,-,-,L701,S,-,-
L70.2,128,L70,Acne varioliforme,-,-,L702,S,-,-
L70.3,128,L70,Acne tropical,-,-,L703,S,-,-
L70.4,128,L70,Acne infantil,-,-,L704,S,-,-
L70.5,128,L70,Acne escoriada das mulheres jovens,-,-,L705,S,-,-
L70.8,128,L70,Outras formas de acne,-,-,L708,S,-,-
L70.9,128,L70,"Acne, nao especificada",-,-,L709,S,-,-
L71,128,L71,Rosacea,-,-,L71,S,-,-
L71.0,128,L71,Dermatite perioral,-,-,L710,S,-,-
L71.1,128,L71,Rinofima,-,-,L711,S,-,-
L71.8,128,L71,Outras formas de rosacea,-,-,L718,S,-,-
L71.9,128,L71,"Rosacea, nao especificada",-,-,L719,S,-,-
L72,128,L72,Cistos foliculares da pele e do tecido subcutaneo,-,-,L72,S,-,-
L72.0,128,L72,Cisto epidermico,-,-,L720,S,-,-
L72.1,128,L72,Cisto triquilemal,-,-,L721,S,-,-
L72.2,128,L72,Esteatocistoma multiplo,-,-,L722,S,-,-
L72.8,128,L72,Outras formas de cistos foliculares da pele e do tecido subcutaneo,-,-,L728,S,-,-
L72.9,128,L72,"Cisto folicular, nao especificado da pele e do tecido subcutaneo",-,-,L729,S,-,-
L73,128,L73,Outras afeccoes foliculares,-,-,L73,S,-,-
L73.0,128,L73,Acne queloide,-,-,L730,S,-,-
L73.1,128,L73,Pseudofoliculite da barba,-,-,L731,S,-,-
L73.2,128,L73,Hidradenite supurativa,-,-,L732,S,-,-
L73.8,128,L73,Outras afeccoes foliculares especificadas,-,-,L738,S,-,-
L73.9,128,L73,"Afeccoes foliculares, nao especificadas",-,-,L739,S,-,-
L74,128,L74,Afeccoes das glandulas sudoriparas ecrinas,-,-,L74,S,-,-
L74.0,128,L74,Miliaria rubra,-,-,L740,S,-,-
L74.1,128,L74,Miliaria cristalina,-,-,L741,S,-,-
L74.2,128,L74,Miliaria profunda,-,-,L742,S,-,-
L74.3,128,L74,"Miliaria, nao especificada",-,-,L743,S,-,-
L74.4,128,L74,Anidrose,-,-,L744,S,-,-
L74.8,128,L74,Outras afeccoes das glandulas sudoriparas ecrinas,-,-,L748,S,-,-
L74.9,128,L74,"Afeccoes das glandulas sudoriparas ecrinas, nao especificadas",-,-,L749,S,-,-
L75,128,L75,Afeccoes das glandulas sudoriparas apocrinas,-,-,L75,S,-,-
L75.0,128,L75,Bromidrose,-,-,L750,S,-,-
L75.1,128,L75,Cromidrose,-,-,L751,S,-,-
L75.2,128,L75,Miliaria apocrina,-,-,L752,S,-,-
L75.8,128,L75,Outras afeccoes das glandulas sudoriparas apocrinas,-,-,L758,S,-,-
L75.9,128,L75,"Afeccoes de glandulas sudoriparas apocrinas, nao especificadas",-,-,L759,S,-,-
L80,129,L80,Vitiligo,-,-,L80,S,-,-
L81,129,L81,Outros transtornos da pigmentacao,-,-,L81,S,-,-
L81.0,129,L81,Hiperpigmentacao pos-inflamatoria,-,-,L810,S,-,-
L81.1,129,L81,Cloasma,-,-,L811,S,-,-
L81.2,129,L81,Sardas,-,-,L812,S,-,-
L81.3,129,L81,Manchas cafe-com-leite,-,-,L813,S,-,-
L81.4,129,L81,Outras formas de hiperpigmentacao pela melanina,-,-,L814,S,-,-
L81.5,129,L81,Leucodermia nao classificada em outra parte,-,-,L815,S,-,-
L81.6,129,L81,Outros transtornos ligados a diminuicao da formacao de melanina,-,-,L816,S,-,-
L81.7,129,L81,Dermatose purpurica pigmentada,-,-,L817,S,-,-
L81.8,129,L81,Outros transtornos especificados da pigmentacao,-,-,L818,S,-,-
L81.9,129,L81,"Transtorno da pigmentacao, nao especificado",-,-,L819,S,-,-
L82,129,L82,Ceratose seborreica,-,-,L82,S,-,-
L83,129,L83,Acantose nigricans,-,-,L83,S,-,-
L84,129,L84,Calos e calosidades,-,-,L84,S,-,-
L85,129,L85,Outras formas de espessamento epidermico,-,-,L85,S,-,-
L85.0,129,L85,Ictiose adquirida,-,-,L850,S,-,-
L85.1,129,L85,Ceratose adquirida [ceratodermia] palmar e plantar,-,-,L851,S,-,-
L85.2,129,L85,Ceratose punctata (palmar e plantar),-,-,L852,S,-,-
L85.3,129,L85,Xerose cutanea,-,-,L853,S,-,-
L85.8,129,L85,Outras formas de espessamento epidermico,-,-,L858,S,-,-
L85.9,129,L85,"Espessamento epidermico, nao especificado",-,-,L859,S,-,-
L86,129,L86,Ceratodermia em doencas classificadas em outra parte,-,*,L86,S,-,-
L87,129,L87,Transtornos da eliminacao transepidermica,-,-,L87,S,-,-
L87.0,129,L87,Ceratose folicular e parafolicular penetrante na pele [Sindrome de Kyrle],-,-,L870,S,-,-
L87.1,129,L87,Colagenose perfurante reativa,-,-,L871,S,-,-
L87.2,129,L87,Elastose perfurante serpiginosa,-,-,L872,S,-,-
L87.8,129,L87,Outros transtornos da eliminacao transepidermica,-,-,L878,S,-,-
L87.9,129,L87,"Transtorno da eliminacao transepidermica, nao especificado",-,-,L879,S,-,-
L88,129,L88,Piodermite gangrenosa,-,-,L88,S,-,-
L89,129,L89,Ulcera de decubito,-,-,L89,S,-,-
L89.0,129,L89,"ulcera de decubito e area de pressao, estadio I",-,-,L890,S,-,-
L89.1,129,L89,"ulcera de decubito, estadio II",-,-,L891,S,-,-
L89.2,129,L89,"ulcera de decubito, estadio III",-,-,L892,S,-,-
L89.3,129,L89,"ulcera de decubito, estadio IV",-,-,L893,S,-,-
L89.9,129,L89,"ulcera de decubito e area de pressao, nao especificada",-,-,L899,S,-,-
L90,129,L90,Afeccoes atroficas da pele,-,-,L90,S,-,-
L90.0,129,L90,Liquen escleroso e atrofico,-,-,L900,S,-,-
L90.1,129,L90,Anetodermia de Schweninger-Buzzi,-,-,L901,S,-,-
L90.2,129,L90,Anetodermia de Jadassohn-Pellizzari,-,-,L902,S,-,-
L90.3,129,L90,Atrofodermia de Pasini e Pierini,-,-,L903,S,-,-
L90.4,129,L90,Acrodermatite cronica atrofica,-,-,L904,S,-,-
L90.5,129,L90,Cicatrizes e fibrose cutanea,-,-,L905,S,-,-
L90.6,129,L90,Estrias atroficas,-,-,L906,S,-,-
L90.8,129,L90,Outras afeccoes atroficas da pele,-,-,L908,S,-,-
L90.9,129,L90,"Afeccoes atroficas da pele, nao especificadas",-,-,L909,S,-,-
L91,129,L91,Afeccoes hipertroficas da pele,-,-,L91,S,-,-
L91.0,129,L91,Cicatriz hipertrofica,-,-,L910,S,-,-
L91.8,129,L91,Outras afeccoes hipertroficas da pele,-,-,L918,S,-,-
L91.9,129,L91,"Afeccoes hipertroficas da pele, nao especificadas",-,-,L919,S,-,-
L92,129,L92,Afeccoes granulomatosas da pele e do tecido subcutaneo,-,-,L92,S,-,-
L92.0,129,L92,Granuloma anular,-,-,L920,S,-,-
L92.1,129,L92,Necrobiose lipoidica nao classificada em outra parte,-,-,L921,S,-,-
L92.2,129,L92,Granuloma facial [granuloma eosinofilo da pele],-,-,L922,S,-,-
L92.3,129,L92,Granuloma de corpo estranho da pele e do tecido subcutaneo,-,-,L923,S,-,-
L92.8,129,L92,Outras afeccoes granulomatosas da pele e do tecido subcutaneo,-,-,L928,S,-,-
L92.9,129,L92,"Afeccoes granulomatosas da pele e do tecido subcutaneo, nao especificados",-,-,L929,S,-,-
L93,129,L93,Lupus eritematoso,-,-,L93,S,-,-
L93.0,129,L93,Lupus eritematoso discoide,-,-,L930,S,-,-
L93.1,129,L93,Lupus eritematoso cutaneo subagudo,-,-,L931,S,-,-
L93.2,129,L93,Outras formas de lupus eritematoso localizado,-,-,L932,S,-,-
L94,129,L94,Outras afeccoes localizadas do tecido conjuntivo,-,-,L94,S,-,-
L94.0,129,L94,Esclerodermia localizada [morfeia],-,-,L940,S,-,-
L94.1,129,L94,Esclerodermia linear,-,-,L941,S,-,-
L94.2,129,L94,Calcinose cutanea,-,-,L942,S,-,-
L94.3,129,L94,Esclerodactilia,-,-,L943,S,-,-
L94.4,129,L94,Papulas de Gottron,-,-,L944,S,-,-
L94.5,129,L94,Poiquilodermia vascular atrofica,-,-,L945,S,-,-
L94.6,129,L94,Ainhum,-,-,L946,S,-,-
L94.8,129,L94,"Outras afeccoes localizadas do tecido conjuntivo, especificadas",-,-,L948,S,-,-
L94.9,129,L94,"Afeccoes localizadas do tecido conjuntivo, nao especificadas",-,-,L949,S,-,-
L95,129,L95,Vasculite limitada a pele nao classificadas em outra parte,-,-,L95,S,-,-
L95.0,129,L95,Vasculite livedoide,-,-,L950,S,-,-
L95.1,129,L95,Eritema elevado diutino (duradouro),-,-,L951,S,-,-
L95.8,129,L95,Outras vasculites limitadas a pele,-,-,L958,S,-,-
L95.9,129,L95,"Vasculites limitadas a pele, nao especificadas",-,-,L959,S,-,-
L97,129,L97,Ulcera dos membros inferiores nao classificada em outra parte,-,-,L97,S,-,-
L98,129,L98,Outras afeccoes da pele e do tecido subcutaneo nao classificadas em outra parte,-,-,L98,S,-,-
L98.0,129,L98,Granuloma piogenico,-,-,L980,S,-,-
L98.1,129,L98,Dermatite facticia,-,-,L981,S,-,-
L98.2,129,L98,Dermatose neutrofilica febril [Sweet],-,-,L982,S,-,-
L98.3,129,L98,Celulite eosinofilica [Wells],-,-,L983,S,-,-
L98.4,129,L98,"Ulcera cronica da pele, nao classificada em outra parte",-,-,L984,S,-,-
L98.5,129,L98,Mucinose da pele,-,-,L985,S,-,-
L98.6,129,L98,Outras afeccoes infiltrativas da pele e do tecido subcutaneo,-,-,L986,S,-,-
L98.7,129,L98,Pele e tecido subcutaneo excessiva e redundante,-,-,L987,S,-,-
L98.8,129,L98,Outras afeccoes especificadas da pele e do tecido subcutaneo,-,-,L988,S,-,-
L98.9,129,L98,"Afeccoes da pele e do tecido subcutaneo, nao especificados",-,-,L989,S,-,-
L99,129,L99,Outras afeccoes da pele e do tecido subcutaneo em doencas classificadas em outra parte,-,*,L99,S,-,-
L99.0,129,L99,Amiloidose cutanea (E85.-+),-,*,L990,S,-,-
L99.8,129,L99,Outras afeccoes especificadas da pele e do tecido subcutaneo em doencas classificadas em outra parte,-,*,L998,S,-,-
M00,131,M00,Artrite piogenica,-,-,M00,S,-,-
M00.0,131,M00,Artrite e pioliartrite estafilococicas,-,-,M000,S,-,-
M00.1,131,M00,Artrite e poliartrite pneumococicas,-,-,M001,S,-,-
M00.2,131,M00,Outras artrites e poliartrites estreptococicas,-,-,M002,S,-,-
M00.8,131,M00,Artrite e poliartrite devidas a outro agente bacteriano especificado,-,-,M008,S,-,-
M00.9,131,M00,"Artrite piogenica, nao especificada",-,-,M009,S,-,-
M01,131,M01,Infeccoes diretas da articulacao em doencas infecciosas e parasitarias classificadas em outra parte,-,*,M01,S,-,-
M01.0,131,M01,Artrite meningococica (A39.8+),-,*,M010,S,-,-
M01.1,131,M01,Artrite tuberculosa (A18.0+),-,*,M011,S,-,-
M01.2,131,M01,Artrite na doenca de Lyme (A69.2+),-,*,M012,S,-,-
M01.3,131,M01,Artrite em outras doencas bacterianas classificadas em outra parte,-,*,M013,S,-,-
M01.4,131,M01,Artrite na rubeola (B06.8+),-,*,M014,S,-,-
M01.5,131,M01,Artrite em outras doencas virais classificadas em outra parte,-,*,M015,S,-,-
M01.6,131,M01,Artrite em micoses (B35-B49+),-,*,M016,S,-,-
M01.8,131,M01,Artrite em outras doencas infecciosas e parasitarias classificadas em outra parte,-,*,M018,S,-,-
M02,131,M02,Artropatias reacionais,-,-,M02,S,-,-
M02.0,131,M02,Artropatia pos-derivacao intestinal,-,-,M020,S,-,-
M02.1,131,M02,Artropatia pos-desinterica,-,-,M021,S,-,-
M02.2,131,M02,Artropatia pos-imunizacao,-,-,M022,S,-,-
M02.3,131,M02,Doenca de Reiter,-,-,M023,S,-,-
M02.8,131,M02,Outras artropatias reacionais,-,-,M028,S,-,-
M02.9,131,M02,Artropatia reacional nao especificada,-,-,M029,S,-,-
M03,131,M03,Artropatias pos-infecciosas e reacionais em doencas infecciosas classificadas em outra parte,-,*,M03,S,-,-
M03.0,131,M03,Artrite pos-meningococica (A39.8+),-,*,M030,S,-,-
M03.1,131,M03,Artropatia pos-infecciosa na sifilis (A50.5+),-,*,M031,S,-,-
M03.2,131,M03,Outras artropatias pos-infecciosas em doencas classificadas em outra parte,-,*,M032,S,-,-
M03.6,131,M03,Artropatia reacional em outras doencas classificadas em outra parte,-,*,M036,S,-,-
M05,132,M05,Artrite reumatoide soro-positiva,-,-,M05,S,-,-
M05.0,132,M05,Sindrome de Felty,-,-,M050,S,-,-
M05.1,132,M05,Doenca reumatoide do pulmao (J99.0*),+,-,M051,S,-,-
M05.2,132,M05,Vasculite reumatoide,-,-,M052,S,-,-
M05.3,132,M05,Artrite reumatoide com comprometimento de outros orgaos e sistemas,-,-,M053,S,-,-
M05.8,132,M05,Outras artrites reumatoides soro-positivas,-,-,M058,S,-,-
M05.9,132,M05,Artrite reumatoide soro-positiva nao especificada,-,-,M059,S,-,-
M06,132,M06,Outras artrites reumatoides,-,-,M06,S,-,-
M06.0,132,M06,Artrite reumatoide soro-negativa,-,-,M060,S,-,-
M06.1,132,M06,Doenca de Still do adulto,-,-,M061,S,-,-
M06.2,132,M06,Bursite reumatoide,-,-,M062,S,-,-
M06.3,132,M06,Nodulo reumatoide,-,-,M063,S,-,-
M06.4,132,M06,Poliartropatia inflamatoria,-,-,M064,S,-,-
M06.8,132,M06,Outras artrites reumatoides especificadas,-,-,M068,S,-,-
M06.9,132,M06,Artrite reumatoide nao especificada,-,-,M069,S,-,-
M07,132,M07,Artropatias psoriasicas e enteropaticas,-,*,M07,S,-,-
M07.0,132,M07,Artropatia psoriasica interfalangiana distal (L40.5+),-,*,M070,S,-,-
M07.1,132,M07,Artrite mutilante (L40.5+),-,*,M071,S,-,-
M07.2,132,M07,Espondilite psoriasica (L40.5+),-,*,M072,S,-,-
M07.3,132,M07,Outras artropatias psoriasicas (L40.5+),-,*,M073,S,-,-
M07.4,132,M07,Artropatia na doenca de Crohn [enterite regional] (K50.-+),-,*,M074,S,-,-
M07.5,132,M07,Artropatia na colite ulcerativa (K51.-+),-,*,M075,S,-,-
M07.6,132,M07,Outras artropatias enteropaticas,-,*,M076,S,-,-
M08,132,M08,Artrite juvenil,-,-,M08,S,-,-
M08.0,132,M08,Artrite reumatoide juvenil,-,-,M080,S,-,-
M08.1,132,M08,Espondilite ancilosante juvenil,-,-,M081,S,-,-
M08.2,132,M08,Artrite juvenil com inicio sistemico,-,-,M082,S,-,-
M08.3,132,M08,Poliartrite juvenil (soro-negativa),-,-,M083,S,-,-
M08.4,132,M08,Artrite juvenil pauciarticular,-,-,M084,S,-,-
M08.8,132,M08,Outras artrites juvenis,-,-,M088,S,-,-
M08.9,132,M08,Artrite juvenil nao especificada,-,-,M089,S,-,-
M09,132,M09,Artrite juvenil em doencas classificadas em outra parte,-,*,M09,S,-,-
M09.0,132,M09,Artrite juvenil na psoriase (L40.5+),-,*,M090,S,-,-
M09.1,132,M09,Artrite juvenil na doenca de Chron [enterite regional] (K50.-+),-,*,M091,S,-,-
M09.2,132,M09,Artrite juvenil na colite ulcerativa (K51.-+),-,*,M092,S,-,-
M09.8,132,M09,Artrite juvenil em outras doencas classificadas em outra parte,-,*,M098,S,-,-
M10,132,M10,Gota,-,-,M10,S,-,-
M10.0,132,M10,Gota idiopatica,-,-,M100,S,-,-
M10.1,132,M10,Gota induzida por chumbo,-,-,M101,S,-,-
M10.2,132,M10,Gota induzida por drogas,-,-,M102,S,-,-
M10.3,132,M10,Gota devida a disfuncao renal,-,-,M103,S,-,-
M10.4,132,M10,Outra gota secundaria,-,-,M104,S,-,-
M10.9,132,M10,"Gota, nao especificada",-,-,M109,S,-,-
M11,132,M11,Outras artropatias por deposicao de cristais,-,-,M11,S,-,-
M11.0,132,M11,Doenca por deposicao de hidroxiapatita,-,-,M110,S,-,-
M11.1,132,M11,Condrocalcinose familiar,-,-,M111,S,-,-
M11.2,132,M11,Outras condrocalcinoses,-,-,M112,S,-,-
M11.8,132,M11,Outras artropatias especificadas por deposicao de cristais,-,-,M118,S,-,-
M11.9,132,M11,"Artropatia por deposicao de cristais, nao especificada",-,-,M119,S,-,-
M12,132,M12,Outras artropatias especificadas,-,-,M12,S,-,-
M12.0,132,M12,Artropatia pos-reumatica cronica [Jaccoud],-,-,M120,S,-,-
M12.1,132,M12,Doenca de Kashin-Beck,-,-,M121,S,-,-
M12.2,132,M12,Sinovite vilonodular (pigmentada),-,-,M122,S,-,-
M12.3,132,M12,Reumatismo palindromico,-,-,M123,S,-,-
M12.4,132,M12,Hidrartrose intermitente,-,-,M124,S,-,-
M12.5,132,M12,Artropatia traumatica,-,-,M125,S,-,-
M12.8,132,M12,Outras artropatias especificas nao classificadas em outra parte,-,-,M128,S,-,-
M13,132,M13,Outras artrites,-,-,M13,S,-,-
M13.0,132,M13,Poliartrite nao especificada,-,-,M130,S,-,-
M13.1,132,M13,Monoartrites nao classificadas em outra parte,-,-,M131,S,-,-
M13.8,132,M13,Outras artrites especificadas,-,-,M138,S,-,-
M13.9,132,M13,Artrite nao especificada,-,-,M139,S,-,-
M14,132,M14,Artropatias em outras doencas classificadas em outra parte,-,*,M14,S,-,-
M14.0,132,M14,Artropatia gotosa devida a defeitos enzimaticos e a outras doencas hereditarias,-,*,M140,S,-,-
M14.1,132,M14,Artropatia por deposito de cristais em outras doencas metabolicas classificadas em outra parte,-,*,M141,S,-,-
M14.2,132,M14,Artropatia diabetica (E10-E14+ com quarto caractere comum .6),-,*,M142,S,-,-
M14.3,132,M14,Dermatoartrite lipoide (E78.8+),-,*,M143,S,-,-
M14.4,132,M14,Artropatia na amiloidose (E85.-+),-,*,M144,S,-,-
M14.5,132,M14,"Artropatias em outras doencas endocrinas, nutricionais e metabolicas",-,*,M145,S,-,-
M14.6,132,M14,Artropatia neuropatica,-,*,M146,S,-,-
M14.8,132,M14,Artropatias em outras doencas especificadas classificadas em outra parte,-,*,M148,S,-,-
M15,133,M15,Poliartrose,-,-,M15,S,-,-
M15.0,133,M15,(Osteo)artrose primaria generalizada,-,-,M150,S,-,-
M15.1,133,M15,Nodulos de Heberden (com artropatia),-,-,M151,S,-,-
M15.2,133,M15,Nodulos de Bouchard (com artropatia),-,-,M152,S,-,-
M15.3,133,M15,Artrose multipla secundaria,-,-,M153,S,-,-
M15.4,133,M15,(Osteo)artrose erosiva,-,-,M154,S,-,-
M15.8,133,M15,Outras poliartroses,-,-,M158,S,-,-
M15.9,133,M15,Poliartrose nao especificada,-,-,M159,S,-,-
M16,133,M16,Coxartrose [artrose do quadril],-,-,M16,S,-,-
M16.0,133,M16,Coxartrose primaria bilateral,-,-,M160,S,-,-
M16.1,133,M16,Outras coxartroses primarias,-,-,M161,S,-,-
M16.2,133,M16,Coxartrose bilateral resultante de displasia,-,-,M162,S,-,-
M16.3,133,M16,Outras coxartroses displasicas,-,-,M163,S,-,-
M16.4,133,M16,Coxartrose bilateral pos-traumatica,-,-,M164,S,-,-
M16.5,133,M16,Outras coxartroses pos-traumaticas,-,-,M165,S,-,-
M16.6,133,M16,Outras coxartroses secundarias bilaterais,-,-,M166,S,-,-
M16.7,133,M16,Outras coxartroses secundarias,-,-,M167,S,-,-
M16.9,133,M16,Coxartrose nao especificada,-,-,M169,S,-,-
M17,133,M17,Gonartrose [artrose do joelho],-,-,M17,S,-,-
M17.0,133,M17,Gonartrose primaria bilateral,-,-,M170,S,-,-
M17.1,133,M17,Outras gonartroses primarias,-,-,M171,S,-,-
M17.2,133,M17,Gonartrose pos-traumatica bilateral,-,-,M172,S,-,-
M17.3,133,M17,Outras gonartroses pos-traumatica,-,-,M173,S,-,-
M17.4,133,M17,Outras gonartroses secundarias bilaterais,-,-,M174,S,-,-
M17.5,133,M17,Outras gonartroses secundarias,-,-,M175,S,-,-
M17.9,133,M17,Gonartrose nao especificada,-,-,M179,S,-,-
M18,133,M18,Artrose da primeira articulacao carpometacarpiana,-,-,M18,S,-,-
M18.0,133,M18,Artrose primaria bilateral das primeiras articulacoes carpometacarpianas,-,-,M180,S,-,-
M18.1,133,M18,Outras artroses primarias da primeira articulacao carpometacarpiana,-,-,M181,S,-,-
M18.2,133,M18,Artrose pos-traumatica bilateral da primeira articulacao carpometacarpiana,-,-,M182,S,-,-
M18.3,133,M18,Outras artroses pos-traumaticas da primeira articulacao carpometacarpiana,-,-,M183,S,-,-
M18.4,133,M18,Outras cartroses secundarias bilaterais das primeiras articulacoes carpometacarpianas,-,-,M184,S,-,-
M18.5,133,M18,Outras artroses secundarias da primeira articulacao carpometacarpiana,-,-,M185,S,-,-
M18.9,133,M18,Artrose nao especificada da primeira articulacao carpometacarpiana,-,-,M189,S,-,-
M19,133,M19,Outras artroses,-,-,M19,S,-,-
M19.0,133,M19,Artrose primaria de outras articulacoes,-,-,M190,S,-,-
M19.1,133,M19,Artrose pos-traumatica de outras articulacoes,-,-,M191,S,-,-
